mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__degree,param_clf__gamma,param_clf__kernel,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.01837170124053955,0.006009118776209207,0.009787996610005697,0.0064040756725428525,0.1,3,auto,rbf,cleaned_invariant+speed,"{'clf__C': 0.1, 'clf__degree': 3, 'clf__gamma': 'auto', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
0.018410444259643555,0.0023295135783542088,0.007421453793843587,0.0035581383922899425,0.1,3,auto,poly,basic,"{'clf__C': 0.1, 'clf__degree': 3, 'clf__gamma': 'auto', 'clf__kernel': 'poly', 'feature_selector__feature_set': 'basic'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
0.02309131622314453,0.00794822054295169,0.00770715872446696,0.003726262513560353,0.1,3,auto,poly,cleaned,"{'clf__C': 0.1, 'clf__degree': 3, 'clf__gamma': 'auto', 'clf__kernel': 'poly', 'feature_selector__feature_set': 'cleaned'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
0.023139397303263348,0.00794705612207867,0.009623448053995768,0.00532189841089912,0.1,3,auto,poly,cleaned+speed,"{'clf__C': 0.1, 'clf__degree': 3, 'clf__gamma': 'auto', 'clf__kernel': 'poly', 'feature_selector__feature_set': 'cleaned+speed'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
0.011801520983378092,0.0010113143895030513,0.008268992106119791,0.0021978292428879533,0.1,3,auto,poly,invariant,"{'clf__C': 0.1, 'clf__degree': 3, 'clf__gamma': 'auto', 'clf__kernel': 'poly', 'feature_selector__feature_set': 'invariant'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
0.019203464190165203,0.007626447954766541,0.00963127613067627,0.0033603292528930568,0.1,3,auto,poly,cleaned_invariant,"{'clf__C': 0.1, 'clf__degree': 3, 'clf__gamma': 'auto', 'clf__kernel': 'poly', 'feature_selector__feature_set': 'cleaned_invariant'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
0.01335597038269043,0.002789851000506847,0.010875741640726725,0.007441904694694021,0.1,3,auto,poly,cleaned_invariant+speed,"{'clf__C': 0.1, 'clf__degree': 3, 'clf__gamma': 'auto', 'clf__kernel': 'poly', 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
0.019715309143066406,0.009714729793601213,0.009488503138224283,0.007067046871519967,0.1,4,scale,rbf,basic,"{'clf__C': 0.1, 'clf__degree': 4, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'basic'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
0.023184895515441895,0.003032571102567646,0.011283159255981445,0.0031237618459641907,0.1,4,scale,rbf,cleaned,"{'clf__C': 0.1, 'clf__degree': 4, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'cleaned'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
0.028560598691304524,0.01143970737679595,0.007458209991455078,0.0019839213917333116,0.1,4,scale,rbf,cleaned+speed,"{'clf__C': 0.1, 'clf__degree': 4, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'cleaned+speed'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
0.02423282464345296,0.007374735864392478,0.01149455706278483,0.0075142981512799824,0.1,4,scale,rbf,invariant,"{'clf__C': 0.1, 'clf__degree': 4, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'invariant'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
0.014968474706013998,0.004527755833268071,0.009466807047526041,0.005935380511879636,0.1,4,scale,rbf,cleaned_invariant,"{'clf__C': 0.1, 'clf__degree': 4, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'feature_selector__feature_set': 'cleaned_invariant'}",0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,151,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,113
