param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
cleaned,0.22857142857142854,0.8426966292134831,0.7277864992150707,0.4961240310077519,0.5737946470019335,0.23517735951711263,391,0.4,0.8426966292134831,0.7301587301587301,0.5925925925925926,0.6413619879912015,0.16511705117149633,362,LogisticRegression_PCA
cleaned,0.5106960950764007,0.7914635008126634,0.7073282210146767,0.4761904761904762,0.6214195732735542,0.13195303360786717,298,0.56,0.7865168539325843,0.7301587301587301,0.5555555555555556,0.6580577849117175,0.1022525243258038,337,LogisticRegression_PCA
cleaned,0.5666666666666667,0.8270270492173422,0.7686170212765958,0.5634920634920635,0.6814507001631671,0.11819481296933418,192,0.6,0.8314606741573034,0.7777777777777778,0.6296296296296297,0.7097170203911777,0.09734680098862382,203,LogisticRegression_PCA
cleaned,0.6675324675324675,0.8270270492173422,0.7686170212765958,0.5634920634920635,0.7066671503796174,0.10044267103575209,144,0.68,0.8314606741573034,0.7777777777777778,0.6296296296296297,0.7297170203911777,0.07929513760043312,163,LogisticRegression_PCA
basic,0.45,0.8762974852862493,0.6426073926073926,0.46271929824561403,0.607906044034814,0.1726641676965437,316,0.6,0.9101123595505618,0.7142857142857143,0.48148148148148145,0.6764698888294394,0.1580244946814338,281,LogisticRegression_PCA
basic,0.22857142857142854,0.8391945133518167,0.6378031321851547,0.4761904761904762,0.5454398875747191,0.22362013013623905,455,0.4,0.8202247191011236,0.6349206349206349,0.5555555555555556,0.6026752273943285,0.1513811901475534,431,LogisticRegression_PCA
basic,0.6820512820512821,0.8342631151619916,0.6601328903654485,0.4552845528455285,0.6579329601060626,0.1348566217264457,223,0.68,0.8202247191011236,0.6507936507936508,0.5185185185185185,0.6673842221033233,0.10718630991718715,308,LogisticRegression_PCA
basic,0.8415584415584415,0.8573171321349803,0.6872863978127136,0.5390869293308318,0.7313122252092419,0.12934479371255123,109,0.84,0.8539325842696629,0.6825396825396826,0.5925925925925926,0.7422662148504845,0.10953392474546808,122,LogisticRegression_PCA
basic,0.8807881773399014,0.8573171321349803,0.7142857142857143,0.5390869293308318,0.7478694882728569,0.13634899288578511,92,0.88,0.8539325842696629,0.7142857142857143,0.5925925925925926,0.7602027227869924,0.11547532417653229,90,LogisticRegression_PCA
cleaned,0.45,0.8475511881924599,0.5952380952380952,0.46271929824561403,0.5888771454190422,0.15980878105607987,350,0.6,0.8651685393258427,0.7142857142857143,0.48148148148148145,0.6652339337732596,0.1417747804686056,311,LogisticRegression_PCA
cleaned,0.22857142857142854,0.8115208930013954,0.7007938918051277,0.4961240310077519,0.5592525610964258,0.22192818787846524,430,0.4,0.7865168539325843,0.6984126984126984,0.5925925925925926,0.6193805362344689,0.14407120197608436,401,LogisticRegression_PCA
cleaned,0.3836007130124777,0.7647272892689806,0.7355623100303952,0.4761904761904762,0.5900201971255824,0.16376147552437625,346,0.48,0.7303370786516854,0.746031746031746,0.5555555555555556,0.6279810950597468,0.11353035589605646,385,LogisticRegression_PCA
cleaned,0.5106960950764007,0.8134147112534358,0.7277864992150707,0.5634920634920635,0.6538473422592426,0.12205029716285551,236,0.56,0.8089887640449438,0.7301587301587301,0.6296296296296297,0.6821942809583259,0.09496303780488816,266,LogisticRegression_PCA
cleaned,0.5106960950764007,0.8353659216942079,0.7277864992150707,0.5390869293308318,0.6532338613291278,0.13423553937158592,238,0.56,0.8314606741573034,0.7301587301587301,0.5925925925925926,0.6785529992271565,0.10895860871457012,277,LogisticRegression_PCA
basic,0.45,0.7722979972561613,0.6484865629420086,0.4196078431372549,0.5725981008338562,0.14497880930532633,392,0.6,0.7191011235955056,0.6984126984126984,0.4074074074074074,0.6062303073539028,0.12329515060741501,427,LogisticRegression_PCA
