mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__balance_probabilities,param_clf__n_estimators,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.40192484855651855,0.06535708820043289,0.7278541326522827,0.02567936045172531,True,4,cleaned_invariant,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned_invariant'}",0.6711018711018711,1.0,0.7420152863419858,0.8170426065162907,0.8075399409900369,0.12251530745969737,10,0.72,1.0,0.7301587301587301,0.8148148148148148,0.8162433862433862,0.1122963616111749,15
0.3322494626045227,0.03109555943806379,0.7143148183822632,0.01163142577003708,True,4,cleaned_invariant+speed,"{'clf__balance_probabilities': True, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.8294117647058823,1.0,0.6938775510204083,0.7777777777777778,0.8252667733760171,0.11187852105486339,3,0.84,1.0,0.6825396825396826,0.7777777777777778,0.8250793650793651,0.1155149937532311,10
0.4680479168891907,0.02243783958599979,1.3623496294021606,0.01895589986900053,True,8,basic,"{'clf__balance_probabilities': True, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'basic'}",0.5342657342657343,0.9890243947796139,0.7884210526315789,0.8917748917748917,0.8008715183629547,0.1694834699996983,14,0.64,0.9887640449438202,0.7777777777777778,0.8888888888888888,0.8238576779026217,0.12975955765600336,11
0.6209136843681335,0.0828010696573195,1.4220383167266846,0.025775015331482545,True,8,cleaned,"{'clf__balance_probabilities': True, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'cleaned'}",0.6070175438596492,0.9785094581140663,0.7884210526315789,0.8917748917748917,0.8164307365950465,0.1383696872298721,5,0.68,0.9775280898876404,0.7777777777777778,0.8888888888888888,0.8310486891385768,0.11231117490999423,8
0.500968337059021,0.032590975700558925,1.3916345238685608,0.015817794026198574,True,8,cleaned+speed,"{'clf__balance_probabilities': True, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'cleaned+speed'}",0.5342657342657343,0.9890243947796139,0.7261904761904762,0.8560606060606061,0.7763853028241076,0.16785778465204063,29,0.64,0.9887640449438202,0.7142857142857143,0.8518518518518519,0.7987254027703465,0.13347370488895724,28
0.47837334871292114,0.06011441495895442,1.3567158579826355,0.01274858288802475,True,8,invariant,"{'clf__balance_probabilities': True, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'invariant'}",0.6070175438596492,1.0,0.6938775510204083,0.8196248196248197,0.7801299786262192,0.14774138308469734,25,0.68,1.0,0.6825396825396826,0.8148148148148148,0.7943386243386243,0.13066005531374053,34
0.43662214279174805,0.005788681955578178,1.390004277229309,0.06248145783131121,True,8,cleaned_invariant,"{'clf__balance_probabilities': True, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'cleaned_invariant'}",0.7285714285714286,1.0,0.7420152863419858,0.8170426065162907,0.8219073303574264,0.10820697040583833,4,0.76,1.0,0.7301587301587301,0.8148148148148148,0.8262433862433862,0.10481223738781664,9
0.45005589723587036,0.008412153947531255,1.358136773109436,0.032281674947433704,True,8,cleaned_invariant+speed,"{'clf__balance_probabilities': True, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.6070175438596492,1.0,0.7420152863419858,0.8170426065162907,0.7915188591794814,0.1419570241608033,17,0.68,1.0,0.7301587301587301,0.8148148148148148,0.8062433862433863,0.12180041279066124,24
0.763451099395752,0.037053915383262026,2.7452234029769897,0.09042542639974999,True,16,basic,"{'clf__balance_probabilities': True, 'clf__n_estimators': 16, 'feature_selector__feature_set': 'basic'}",0.5342657342657343,0.9890243947796139,0.7261904761904762,0.8917748917748917,0.785313874252679,0.17273727826857896,21,0.64,0.9887640449438202,0.7142857142857143,0.8888888888888888,0.8079846620296058,0.1380443938521734,22
0.7590544819831848,0.03548322958458119,2.730322778224945,0.031992654530880814,True,16,cleaned,"{'clf__balance_probabilities': True, 'clf__n_estimators': 16, 'feature_selector__feature_set': 'cleaned'}",0.6070175438596492,0.9890243947796139,0.7261904761904762,0.8917748917748917,0.8035018266511578,0.14730400164749807,13,0.68,0.9887640449438202,0.7142857142857143,0.8888888888888888,0.8179846620296058,0.1264775135485429,13
