param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
cleaned+speed,0.6884697910784868,0.7844990548204158,0.8072463768115942,1.0,1.0,1.0,0.8800358704517496,0.1253643579242901,985,0.74,0.8043478260869565,0.8260869565217391,1.0,1.0,1.0,0.8950724637681159,0.10806386436625583,944,LogisticRegression_PCA
cleaned+speed,0.656037296037296,0.8590153452685422,0.9553495311167945,1.0,1.0,1.0,0.9117336954037721,0.12478984720730071,749,0.72,0.8695652173913043,0.9565217391304348,1.0,1.0,1.0,0.9243478260869565,0.10244029413582285,538,LogisticRegression_PCA
cleaned+speed,0.5840000000000001,0.8323881537492123,0.9553495311167945,1.0,1.0,1.0,0.8952896141443345,0.15130422220305773,915,0.68,0.8478260869565217,0.9565217391304348,1.0,1.0,1.0,0.9140579710144928,0.11770801792453181,737,LogisticRegression_PCA
cleaned+speed,0.5840000000000001,0.8323881537492123,0.9553495311167945,1.0,1.0,1.0,0.8952896141443345,0.15130422220305773,915,0.68,0.8478260869565217,0.9565217391304348,1.0,1.0,1.0,0.9140579710144928,0.11770801792453181,737,LogisticRegression_PCA
invariant,0.5840000000000001,0.7433574879227053,0.577639751552795,1.0,0.9743589743589742,1.0,0.8132260356390791,0.18648500301234477,1255,0.68,0.782608695652174,0.6739130434782609,1.0,0.95,1.0,0.8477536231884057,0.14107794943819307,1214,LogisticRegression_PCA
invariant,0.656037296037296,0.8590153452685422,0.711918158567775,1.0,1.0,1.0,0.8711617999789355,0.14235078224937736,1024,0.72,0.8695652173913043,0.7608695652173914,1.0,1.0,1.0,0.8917391304347827,0.11709974528821934,955,LogisticRegression_PCA
invariant,0.656037296037296,0.9089895611634743,0.796840318579449,1.0,1.0,1.0,0.8936445292967031,0.12909827068189347,922,0.72,0.9130434782608695,0.8260869565217391,1.0,1.0,1.0,0.9098550724637681,0.10602714715405386,812,LogisticRegression_PCA
invariant,0.6213381555153706,0.8844905905256328,0.7642966751918159,1.0,1.0,1.0,0.8783542368721365,0.14346725721077117,990,0.7,0.8913043478260869,0.8043478260869565,1.0,1.0,1.0,0.8992753623188405,0.11490706545030718,919,LogisticRegression_PCA
invariant,0.656037296037296,0.8844905905256328,0.7642966751918159,1.0,1.0,1.0,0.8841374269591241,0.13333167148766664,960,0.72,0.8913043478260869,0.8043478260869565,1.0,1.0,1.0,0.9026086956521739,0.10922768344379458,893,LogisticRegression_PCA
cleaned_invariant,0.6213381555153706,0.6733254994124559,0.659539641943734,1.0,0.9743589743589742,1.0,0.8214270452050892,0.1709492801492282,1250,0.7,0.7391304347826086,0.717391304347826,1.0,0.95,1.0,0.8510869565217392,0.13377221797218297,1190,LogisticRegression_PCA
cleaned_invariant,0.6884697910784868,0.7096642738472149,0.7289759725400459,1.0,0.9743589743589742,1.0,0.8502448353041202,0.14194936567273092,1167,0.74,0.7608695652173914,0.782608695652174,1.0,0.95,1.0,0.8722463768115941,0.11300178067828368,1064,LogisticRegression_PCA
cleaned_invariant,0.656037296037296,0.804404291360813,0.8270900598727312,1.0,1.0,1.0,0.8812552745451402,0.13029710370925093,980,0.72,0.8260869565217391,0.8478260869565217,1.0,1.0,1.0,0.8989855072463767,0.10845819473050802,921,LogisticRegression_PCA
cleaned_invariant,0.6213381555153706,0.7748228501443443,0.796840318579449,1.0,1.0,1.0,0.8655002207065273,0.1453858393268069,1063,0.7,0.8043478260869565,0.8260869565217391,1.0,1.0,1.0,0.8884057971014493,0.11818482920507313,973,LogisticRegression_PCA
cleaned_invariant,0.6213381555153706,0.7748228501443443,0.796840318579449,1.0,1.0,1.0,0.8655002207065273,0.1453858393268069,1063,0.7,0.8043478260869565,0.8260869565217391,1.0,1.0,1.0,0.8884057971014493,0.11818482920507313,973,LogisticRegression_PCA
cleaned_invariant+speed,0.6213381555153706,0.7096642738472149,0.6747711670480548,1.0,0.9743589743589742,1.0,0.8300220951282692,0.16368463248010154,1247,0.7,0.7608695652173914,0.7391304347826086,1.0,0.95,1.0,0.8583333333333334,0.1273575205405133,1146,LogisticRegression_PCA
cleaned_invariant+speed,0.7189473684210526,0.7748228501443443,0.7289759725400459,1.0,1.0,1.0,0.8704576985175739,0.13067906409406158,1034,0.76,0.8043478260869565,0.782608695652174,1.0,1.0,1.0,0.8911594202898551,0.10959099842376538,961,LogisticRegression_PCA
cleaned_invariant+speed,0.656037296037296,0.8323881537492123,0.8270900598727312,1.0,1.0,1.0,0.8859192516098733,0.1279423159059319,958,0.72,0.8478260869565217,0.8478260869565217,1.0,1.0,1.0,0.9026086956521739,0.10630412554435728,893,LogisticRegression_PCA
cleaned_invariant+speed,0.6213381555153706,0.7748228501443443,0.796840318579449,1.0,1.0,1.0,0.8655002207065273,0.1453858393268069,1063,0.7,0.8043478260869565,0.8260869565217391,1.0,1.0,1.0,0.8884057971014493,0.11818482920507313,973,LogisticRegression_PCA
cleaned_invariant+speed,0.6213381555153706,0.7748228501443443,0.796840318579449,1.0,1.0,1.0,0.8655002207065273,0.1453858393268069,1063,0.7,0.8043478260869565,0.8260869565217391,1.0,1.0,1.0,0.8884057971014493,0.11818482920507313,973,LogisticRegression_PCA
basic,0.5840000000000001,0.8120204603580562,0.7590579710144929,1.0,0.9743589743589742,1.0,0.8549062342885873,0.15318269362739365,1127,0.68,0.8260869565217391,0.782608695652174,1.0,0.95,1.0,0.8731159420289855,0.1195877229587622,1054,LogisticRegression_PCA
basic,0.6884697910784868,0.8902929487637133,0.9130434782608695,1.0,0.9743589743589742,1.0,0.9110275320770073,0.10786488982417364,769,0.74,0.8913043478260869,0.9130434782608695,1.0,0.95,1.0,0.9157246376811594,0.08837624238697583,721,LogisticRegression_PCA
basic,0.656037296037296,0.9565217391304348,0.9553495311167945,1.0,1.0,1.0,0.9279847610474209,0.12320524705322984,475,0.72,0.9565217391304348,0.9565217391304348,1.0,1.0,1.0,0.938840579710145,0.09978131939006848,248,LogisticRegression_PCA
basic,0.6884697910784868,0.9089895611634743,0.9553495311167945,1.0,1.0,1.0,0.9254681472264593,0.1110537804791356,535,0.74,0.9130434782608695,0.9565217391304348,1.0,1.0,1.0,0.934927536231884,0.09277683133564225,323,LogisticRegression_PCA
basic,0.6884697910784868,0.9089895611634743,0.9553495311167945,1.0,1.0,1.0,0.9254681472264593,0.1110537804791356,535,0.74,0.9130434782608695,0.9565217391304348,1.0,1.0,1.0,0.934927536231884,0.09277683133564225,323,LogisticRegression_PCA
cleaned,0.5840000000000001,0.7366099558916194,0.7282843798000063,1.0,0.9743589743589742,1.0,0.8372088850084333,0.1622300183231722,1232,0.68,0.7608695652173914,0.7608695652173914,1.0,0.95,1.0,0.8586231884057972,0.1286742091092736,1143,LogisticRegression_PCA
cleaned,0.7477333333333334,0.7844990548204158,0.8899415963659961,1.0,0.9743589743589742,1.0,0.8994221598131199,0.10177919832563101,890,0.78,0.8043478260869565,0.8913043478260869,1.0,0.95,1.0,0.9042753623188405,0.08757404524484468,878,LogisticRegression_PCA
cleaned,0.6884697910784868,0.8590153452685422,0.9553495311167945,1.0,1.0,1.0,0.9171391112439706,0.11381699272610515,676,0.74,0.8695652173913043,0.9565217391304348,1.0,1.0,1.0,0.92768115942029,0.09585014646629261,471,LogisticRegression_PCA
