mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__threshold,param_embedding__n_estimators_tabpfn,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.07350915670394897,0.003529566603570672,0.007346034049987793,0.0002009817359763833,RandomForestClassifier(random_state=42),0.4,1,cleaned+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,26,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,25
0.07132971286773682,0.002059780445107797,0.006441056728363037,0.0002280277952570306,RandomForestClassifier(random_state=42),0.4,1,invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,1.0,0.7386759581881532,0.6793516560958421,0.7170069035709988,0.19574552662287276,18,0.6,1.0,0.7301587301587301,0.7407407407407407,0.7677248677248678,0.1451057598163216,15
0.06918489933013916,0.00277443216926768,0.006453990936279297,0.000254889142656616,RandomForestClassifier(random_state=42),0.4,1,cleaned_invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.9491837293974866,0.8398268398268398,0.738095238095238,0.7442764518298912,0.1855759322698897,13,0.6,0.9550561797752809,0.8571428571428571,0.7777777777777778,0.7974942036739789,0.13016953955182547,8
0.07488101720809937,0.0072490244198623694,0.006354331970214844,0.0002993508806929887,RandomForestClassifier(random_state=42),0.4,1,cleaned_invariant+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.4, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.9491837293974866,0.8016717325227964,0.6121212121212122,0.7032441685103739,0.18881886494228872,19,0.6,0.9550561797752809,0.8095238095238095,0.7037037037037037,0.7670709232506986,0.13140472036088408,16
0.07257169485092163,0.002662447389546512,0.007318079471588135,0.00010296527709942274,RandomForestClassifier(random_state=42),0.5,1,basic,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.5342657342657343,0.9785094581140663,0.5952380952380952,0.9623741388447271,0.7675968566156557,0.20406694393265382,7,0.64,0.9775280898876404,0.7142857142857143,0.9629629629629629,0.8236941917840794,0.1489751907828359,3
0.07346189022064209,0.002896220032767939,0.00735098123550415,0.0001269793688157527,RandomForestClassifier(random_state=42),0.5,1,cleaned,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.5342657342657343,0.968377789819141,0.6308762560607124,0.9274509803921568,0.7652426901344361,0.18640016825388633,8,0.64,0.9662921348314607,0.7301587301587301,0.9259259259259259,0.8155941977290292,0.13510690201549597,4
0.07241451740264893,0.0023764558503867857,0.0072217583656311035,0.0003228421029797078,RandomForestClassifier(random_state=42),0.5,1,cleaned+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.9169486936510084,0.7420152863419858,0.8034188034188035,0.7280956958529494,0.17238764193091793,16,0.6,0.9325842696629213,0.7301587301587301,0.8148148148148148,0.7693894536591166,0.12137529411286618,14
0.07120400667190552,0.002423255963280017,0.0063765645027160645,0.00015132363309720782,RandomForestClassifier(random_state=42),0.5,1,invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,1.0,0.6605331787887568,0.838095238095238,0.7371571042209988,0.20469814556117752,14,0.6,1.0,0.6507936507936508,0.8518518518518519,0.7756613756613757,0.16014187041898717,12
0.06887990236282349,0.0014511671338718077,0.0060124993324279785,0.00028042425848055915,RandomForestClassifier(random_state=42),0.5,1,cleaned_invariant,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,1.0,0.7884210526315789,0.8034188034188035,0.7604599640125955,0.19773220681987808,9,0.6,1.0,0.7777777777777778,0.8148148148148148,0.7981481481481482,0.14203836495588637,7
0.06873202323913574,0.0022001285856806403,0.006073713302612305,0.000260668332728072,RandomForestClassifier(random_state=42),0.5,1,cleaned_invariant+speed,"{'clf__estimator': RandomForestClassifier(random_state=42), 'clf__threshold': 0.5, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.6070175438596492,1.0,0.7420152863419858,0.6793516560958421,0.7570961215743692,0.1481532206424611,10,0.68,1.0,0.7301587301587301,0.7407407407407407,0.7877248677248678,0.12468635379574342,10
