mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__learning_rate,param_clf__estimator__max_depth,param_clf__threshold,param_embedding__n_estimators_tabpfn,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.24750953912734985,0.017377775281573114,0.005126893520355225,0.00022407423440773725,0.01,3,0.8,1,basic,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.2532278895378113,0.02549116048970342,0.005335867404937744,0.00020868813604729965,0.01,3,0.8,1,cleaned,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.2465304136276245,0.020382936925131438,0.005087494850158691,0.00014014617440220452,0.01,3,0.8,1,cleaned+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.2496057152748108,0.017717573886618845,0.004440009593963623,7.666174608271421e-05,0.01,3,0.8,1,invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.841025641025641,0.018573721623480855,0.12698412698412698,0.5333333333333333,0.37997920574164556,0.3281393521675262,196,0.84,0.10112359550561797,0.2857142857142857,0.5555555555555556,0.4455983591938648,0.27922617135253996,199
0.24707478284835815,0.016826824886645986,0.004388213157653809,0.0001131645315573183,0.01,3,0.8,1,cleaned_invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.841025641025641,0.018573721623480855,0.12698412698412698,0.5802298850574713,0.39170334367268,0.3341910988640457,151,0.84,0.10112359550561797,0.2857142857142857,0.5925925925925926,0.45485761845312406,0.2833031958721202,154
0.2515314817428589,0.0185729803655254,0.004566967487335205,0.00013115030644180776,0.01,3,0.8,1,cleaned_invariant+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.8, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",1.0,0.0628083036448342,0.12698412698412698,0.6666666666666666,0.4641147743239069,0.3882345299474863,97,1.0,0.12359550561797752,0.2857142857142857,0.6666666666666666,0.5189941144997324,0.3405632771502187,103
0.24967551231384277,0.015494176932320731,0.005249440670013428,0.0001548099013130603,0.01,5,0.2,1,basic,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.6070175438596492,1.0,0.5952380952380952,0.6793516560958421,0.7204018237983967,0.16460726767674608,13,0.68,1.0,0.7142857142857143,0.7407407407407407,0.7837566137566139,0.12669175998941187,13
0.2470722794532776,0.015415852958087008,0.005175650119781494,0.00019159305557019219,0.01,5,0.2,1,cleaned,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.7809523809523808,0.9762623110001387,0.5952380952380952,0.6793516560958421,0.7579511108216143,0.1421638476147219,1,0.8,0.9775280898876404,0.7142857142857143,0.7407407407407407,0.8081386362285239,0.10260344984938308,1
0.25374823808670044,0.02880599430272387,0.005253970623016357,0.00020818129392188584,0.01,5,0.2,1,cleaned+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.9632315433928449,0.4608294930875576,0.5333333333333333,0.6018485924534339,0.21109024099779175,61,0.6,0.9662921348314607,0.47619047619047616,0.6666666666666666,0.6772873194221508,0.1803121263919375,61
0.25749170780181885,0.015238322411045202,0.004542350769042969,0.00022281029427690752,0.01,5,0.2,1,invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.45,1.0,0.5952380952380952,0.5333333333333333,0.6446428571428571,0.21153911068990036,25,0.6,1.0,0.7142857142857143,0.6666666666666666,0.7452380952380953,0.1525854282858297,25
0.25048500299453735,0.015791855829701797,0.004406571388244629,0.0001917751449322813,0.01,5,0.2,1,cleaned_invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,1.0,0.5952380952380952,0.5333333333333333,0.6446428571428571,0.21153911068990036,25,0.6,1.0,0.7142857142857143,0.6666666666666666,0.7452380952380953,0.1525854282858297,25
0.2586067318916321,0.03705167892864913,0.004526257514953613,0.00019260078665804404,0.01,5,0.2,1,cleaned_invariant+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__threshold': 0.2, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,1.0,0.5952380952380952,0.5333333333333333,0.6446428571428571,0.21153911068990036,25,0.6,1.0,0.7142857142857143,0.6666666666666666,0.7452380952380953,0.1525854282858297,25
0.24355041980743408,0.0159594486770186,0.005305290222167969,0.00012012854435105239,0.01,5,0.3,1,basic,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.24706774950027466,0.013917174520249842,0.005315661430358887,0.00034062057701085053,0.01,5,0.3,1,cleaned,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.251041054725647,0.016213457126612364,0.005300283432006836,0.00018579248699625073,0.01,5,0.3,1,cleaned+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__threshold': 0.3, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
