param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
basic,0.5840000000000001,0.934175769258228,0.9366031270079245,0.975609756097561,0.9050647753939524,0.14601751928537854,131,0.68,0.9347826086956522,0.9347826086956522,0.9523809523809523,0.9169910282953762,0.10941606650189271,113,LogisticRegression_PCA
basic,0.5840000000000001,0.934175769258228,0.9366031270079245,0.975609756097561,0.9050647753939524,0.14601751928537854,131,0.68,0.9347826086956522,0.9347826086956522,0.9523809523809523,0.9169910282953762,0.10941606650189271,113,LogisticRegression_PCA
cleaned,0.5840000000000001,0.6534717715768982,0.6868461591520475,0.8648648648648648,0.7766046899538942,0.14066455455094912,298,0.68,0.6739130434782609,0.6739130434782609,0.7619047619047619,0.7578122843340234,0.09150006774053232,298,LogisticRegression_PCA
cleaned,0.4995121951219512,0.7366099558916194,0.8098093810237738,0.9230769230769231,0.8155612382455404,0.163810617608541,243,0.64,0.7608695652173914,0.8043478260869565,0.8571428571428571,0.8195203588681851,0.10132800770081078,261,LogisticRegression_PCA
cleaned,0.6213381555153706,0.8669448757763975,0.8924811098724142,0.9230769230769231,0.8839735107068508,0.12766691867386917,179,0.7,0.8695652173913043,0.8913043478260869,0.8571428571428571,0.886335403726708,0.10142180724181349,175,LogisticRegression_PCA
cleaned,0.6213381555153706,0.932664437012263,0.8752717391304349,1.0,0.9048790552763447,0.13489999062280628,133,0.7,0.9347826086956522,0.8695652173913043,1.0,0.917391304347826,0.10825999650424986,106,LogisticRegression_PCA
cleaned,0.6213381555153706,0.9556482919254659,0.8752717391304349,1.0,0.9087096977618785,0.13595678838072733,116,0.7,0.9565217391304348,0.8695652173913043,1.0,0.9210144927536232,0.10914159728888509,94,LogisticRegression_PCA
cleaned+speed,0.5840000000000001,0.6534717715768982,0.6868461591520475,0.8648648648648648,0.7766046899538942,0.14066455455094912,298,0.68,0.6739130434782609,0.6739130434782609,0.7619047619047619,0.7578122843340234,0.09150006774053232,298,LogisticRegression_PCA
cleaned+speed,0.4995121951219512,0.7366099558916194,0.8098093810237738,0.9230769230769231,0.8155612382455404,0.163810617608541,243,0.64,0.7608695652173914,0.8043478260869565,0.8571428571428571,0.8195203588681851,0.10132800770081078,261,LogisticRegression_PCA
cleaned+speed,0.6213381555153706,0.8669448757763975,0.8924811098724142,0.9230769230769231,0.8839735107068508,0.12766691867386917,179,0.7,0.8695652173913043,0.8913043478260869,0.8571428571428571,0.886335403726708,0.10142180724181349,175,LogisticRegression_PCA
