mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__class_weight,param_clf__estimator__max_depth,param_clf__estimator__min_samples_leaf,param_clf__threshold,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.5494912068049113,0.035231469566238634,0.06007993221282959,0.008957403204659594,,,1,0.5,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned+speed'}",0.5435737491877842,0.6733254994124559,0.8554347826086957,1.0,1.0,1.0,0.8453890052014893,0.17912420996266878,329,0.66,0.7391304347826086,0.8695652173913043,1.0,1.0,1.0,0.8781159420289854,0.13634015124313084,157
0.5266304413477579,0.03844396066317137,0.06949090957641602,0.03526136645089412,,,1,0.5,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'invariant'}",0.6884697910784868,0.7096642738472149,0.6473960821786909,1.0,1.0,0.975609756097561,0.8368566505336589,0.156298750774131,357,0.74,0.7608695652173914,0.7391304347826086,1.0,1.0,0.9523809523809523,0.8653968253968255,0.11999707004246611,247
0.4961046775182088,0.025345343246589977,0.05991963545481364,0.005900192055047434,,,1,0.5,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned_invariant'}",0.6213381555153706,0.7096642738472149,0.5993395707209687,1.0,1.0,0.975609756097561,0.8176586260301858,0.17762930969186322,422,0.7,0.7608695652173914,0.717391304347826,1.0,1.0,0.9523809523809523,0.8551069703243618,0.13124701463409566,347
0.5860013564427694,0.05094290090856149,0.06092162926991781,0.008801067575848639,,,1,0.5,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.656037296037296,0.6733254994124559,0.6473960821786909,1.0,1.0,0.975609756097561,0.8253947722876673,0.1668477672636345,397,0.72,0.7391304347826086,0.7391304347826086,1.0,1.0,0.9523809523809523,0.858440303657695,0.12684540987517906,300
0.5632688204447428,0.03505217598869325,0.0723803440729777,0.017925118645677703,,,1,0.6,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'basic'}",0.7477333333333334,0.7096642738472149,0.7675447990290568,0.975609756097561,1.0,0.975609756097561,0.8626936530674545,0.12250190202448243,190,0.78,0.7608695652173914,0.7608695652173914,0.9523809523809523,1.0,0.9523809523809523,0.8677501725327813,0.10194915062607957,224
0.5704283714294434,0.11056465310798867,0.07347182432810466,0.021424012261104984,,,1,0.6,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'cleaned'}",0.6213381555153706,0.7748228501443443,0.7634584417193113,1.0,1.0,0.95,0.8516032412298378,0.1416638403631028,290,0.7,0.8043478260869565,0.7608695652173914,1.0,1.0,0.9047619047619048,0.8616632160110421,0.11526132479020171,265
0.6040310462315878,0.05811551634860751,0.06875308354695638,0.017663995899343622,,,1,0.6,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'cleaned+speed'}",0.7189473684210526,0.7433574879227053,0.7286000045984412,1.0,1.0,0.95,0.8568174768236999,0.12780617393014293,247,0.76,0.782608695652174,0.717391304347826,1.0,1.0,0.9047619047619048,0.8607936507936508,0.11367094534422041,272
0.46622371673583984,0.03749685016657874,0.09266102313995361,0.010439776573388041,,,1,0.6,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'invariant'}",0.8500048567265662,0.804404291360813,0.796840318579449,0.95,1.0,0.975609756097561,0.896143203794065,0.0820645677573834,39,0.86,0.8260869565217391,0.8260869565217391,0.9047619047619048,1.0,0.9523809523809523,0.8948861283643893,0.06472480951832739,35
0.5455625851949056,0.03861595926436559,0.06750893592834473,0.017062652444638764,,,1,0.6,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'cleaned_invariant'}",0.8010958904109589,0.7748228501443443,0.7642966751918159,0.95,1.0,0.95,0.8733692359578532,0.09540400807685427,129,0.82,0.8043478260869565,0.8043478260869565,0.9047619047619048,1.0,0.9047619047619048,0.8730365769496204,0.07115929445844571,190
0.5416857798894247,0.06516248006672894,0.06770642598470052,0.02251576687583315,,,1,0.6,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.8010958904109589,0.7433574879227053,0.8270900598727312,0.975609756097561,1.0,0.95,0.8828588657173261,0.09668564454199073,87,0.82,0.782608695652174,0.8478260869565217,0.9523809523809523,1.0,0.9047619047619048,0.8845962732919256,0.07554868923313307,118
